file,sample,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,reference_bp,called_reference_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic
T2_CG03.filtered.gatk.gd,T2_CG03,2,2,0,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,1
T2_CG04.filtered.gatk.gd,T2_CG04,3,2,1,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T2_CG05.filtered.gatk.gd,T2_CG05,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG06.filtered.gatk.gd,T2_CG06,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG07.filtered.gatk.gd,T2_CG07,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_CG08.filtered.gatk.gd,T2_CG08,3,1,2,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_CG09.filtered.gatk.gd,T2_CG09,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG10.filtered.gatk.gd,T2_CG10,4,1,3,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_CG11.filtered.gatk.gd,T2_CG11,3,2,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,1
T2_CG12.filtered.gatk.gd,T2_CG12,1,1,0,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T2_CG19.filtered.gatk.gd,T2_CG19,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG20.filtered.gatk.gd,T2_CG20,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG21.filtered.gatk.gd,T2_CG21,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG22.filtered.gatk.gd,T2_CG22,3,1,2,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T2_CG23.filtered.gatk.gd,T2_CG23,3,2,1,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,1
T2_CG24.filtered.gatk.gd,T2_CG24,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG26.filtered.gatk.gd,T2_CG26,2,2,0,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T2_CG27.filtered.gatk.gd,T2_CG27,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG28.filtered.gatk.gd,T2_CG28,3,1,2,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T2_CG29.filtered.gatk.gd,T2_CG29,4,0,4,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG30.filtered.gatk.gd,T2_CG30,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG31.filtered.gatk.gd,T2_CG31,2,1,1,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T2_CG32.filtered.gatk.gd,T2_CG32,3,1,2,0,0,0,0,0,0,0,3773875,3773875,0,0,1,0,0,0
T2_CG33.filtered.gatk.gd,T2_CG33,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG34.filtered.gatk.gd,T2_CG34,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG35.filtered.gatk.gd,T2_CG35,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG36.filtered.gatk.gd,T2_CG36,2,1,1,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T2_CG37.filtered.gatk.gd,T2_CG37,2,1,1,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T2_CG38.filtered.gatk.gd,T2_CG38,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG39.filtered.gatk.gd,T2_CG39,4,3,1,0,0,0,0,0,0,0,3773875,3773875,1,2,0,0,0,0
T2_CG40.filtered.gatk.gd,T2_CG40,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG41.filtered.gatk.gd,T2_CG41,30,26,4,0,0,0,0,0,0,0,3773875,3773875,22,4,0,0,0,0
T2_CG42.filtered.gatk.gd,T2_CG42,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG43.filtered.gatk.gd,T2_CG43,23,6,14,0,3,0,0,0,0,0,3773875,3773875,1,0,0,5,0,0
T2_CG44.filtered.gatk.gd,T2_CG44,3,0,3,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG46.filtered.gatk.gd,T2_CG46,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG47.filtered.gatk.gd,T2_CG47,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG48.filtered.gatk.gd,T2_CG48,2,2,0,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T2_WG01.filtered.gatk.gd,T2_WG01,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_WG02.filtered.gatk.gd,T2_WG02,3,1,2,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_WG03.filtered.gatk.gd,T2_WG03,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG04.filtered.gatk.gd,T2_WG04,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG05.filtered.gatk.gd,T2_WG05,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,1
T2_WG06.filtered.gatk.gd,T2_WG06,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG07.filtered.gatk.gd,T2_WG07,4,1,3,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_WG08.filtered.gatk.gd,T2_WG08,3,1,2,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_WG09.filtered.gatk.gd,T2_WG09,4,1,3,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_WG10.filtered.gatk.gd,T2_WG10,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_WG11.filtered.gatk.gd,T2_WG11,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG12.filtered.gatk.gd,T2_WG12,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG13.filtered.gatk.gd,T2_WG13,4,2,2,0,0,0,0,0,0,0,3773875,3773875,1,1,0,0,0,0
T2_WG14.filtered.gatk.gd,T2_WG14,6,2,4,0,0,0,0,0,0,0,3773875,3773875,1,1,0,0,0,0
T2_WG15.filtered.gatk.gd,T2_WG15,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG16.filtered.gatk.gd,T2_WG16,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG17.filtered.gatk.gd,T2_WG17,4,2,2,0,0,0,0,0,0,0,3773875,3773875,1,1,0,0,0,0
T2_WG18.filtered.gatk.gd,T2_WG18,3,2,1,0,0,0,0,0,0,0,3773875,3773875,1,1,0,0,0,0
T2_WG19.filtered.gatk.gd,T2_WG19,3,0,3,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG20.filtered.gatk.gd,T2_WG20,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG21.filtered.gatk.gd,T2_WG21,2,1,1,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T2_WG22.filtered.gatk.gd,T2_WG22,2,1,1,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T2_WG24.filtered.gatk.gd,T2_WG24,4,1,3,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_WG25.filtered.gatk.gd,T2_WG25,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_WG26.filtered.gatk.gd,T2_WG26,1,1,0,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_WG27.filtered.gatk.gd,T2_WG27,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_WG29.filtered.gatk.gd,T2_WG29,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG30.filtered.gatk.gd,T2_WG30,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG31.filtered.gatk.gd,T2_WG31,3,2,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,1
T2_WG32.filtered.gatk.gd,T2_WG32,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,1
T2_WG33.filtered.gatk.gd,T2_WG33,3,1,2,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_WG34.filtered.gatk.gd,T2_WG34,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG35.filtered.gatk.gd,T2_WG35,4,4,0,0,0,0,0,0,0,0,3773875,3773875,1,3,0,0,0,0
T2_WG36.filtered.gatk.gd,T2_WG36,3,0,3,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG37.filtered.gatk.gd,T2_WG37,3,2,1,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T2_WG38.filtered.gatk.gd,T2_WG38,5,1,4,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_WG39.filtered.gatk.gd,T2_WG39,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG40.filtered.gatk.gd,T2_WG40,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG41.filtered.gatk.gd,T2_WG41,3,1,2,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_WG42.filtered.gatk.gd,T2_WG42,4,1,3,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T2_WG43.filtered.gatk.gd,T2_WG43,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_WG44.filtered.gatk.gd,T2_WG44,4,2,2,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,1
T2_WG45.filtered.gatk.gd,T2_WG45,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_WG46.filtered.gatk.gd,T2_WG46,4,1,3,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_WG47.filtered.gatk.gd,T2_WG47,4,1,3,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,1
T2_WG48.filtered.gatk.gd,T2_WG48,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_CG01.filtered.gatk.gd,T3_CG01,3,1,2,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T3_CG02.filtered.gatk.gd,T3_CG02,3,1,2,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T3_CG03.filtered.gatk.gd,T3_CG03,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T3_CG04.filtered.gatk.gd,T3_CG04,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_CG05.filtered.gatk.gd,T3_CG05,3,2,1,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T3_CG06.filtered.gatk.gd,T3_CG06,2,2,0,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T3_CG07.filtered.gatk.gd,T3_CG07,1,1,0,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T3_CG08.filtered.gatk.gd,T3_CG08,3,3,0,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,1
T3_CG09.filtered.gatk.gd,T3_CG09,5,5,0,0,0,0,0,0,0,0,3773875,3773875,0,3,0,0,0,2
T3_CG10.filtered.gatk.gd,T3_CG10,1,1,0,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T3_CG11.filtered.gatk.gd,T3_CG11,1,1,0,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T3_CG16.filtered.gatk.gd,T3_CG16,215,125,79,0,11,0,0,0,0,0,3773875,3773875,98,27,0,0,0,0
T3_CG17.filtered.gatk.gd,T3_CG17,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_CG19.filtered.gatk.gd,T3_CG19,3,2,1,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T3_CG20.filtered.gatk.gd,T3_CG20,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_CG21.filtered.gatk.gd,T3_CG21,3,2,1,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T3_CG22.filtered.gatk.gd,T3_CG22,3,3,0,0,0,0,0,0,0,0,3773875,3773875,0,0,1,0,0,2
T3_CG23.filtered.gatk.gd,T3_CG23,7,2,5,0,0,0,0,0,0,0,3773875,3773875,1,1,0,0,0,0
T3_CG24.filtered.gatk.gd,T3_CG24,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T3_CG25.filtered.gatk.gd,T3_CG25,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,1
T3_CG26.filtered.gatk.gd,T3_CG26,5,2,3,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T3_CG27.filtered.gatk.gd,T3_CG27,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_CG28.filtered.gatk.gd,T3_CG28,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_CG29.filtered.gatk.gd,T3_CG29,4,1,3,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,1
T3_CG31.filtered.gatk.gd,T3_CG31,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_CG32.filtered.gatk.gd,T3_CG32,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_CG33.filtered.gatk.gd,T3_CG33,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,1
T3_CG34.filtered.gatk.gd,T3_CG34,8,6,2,0,0,0,0,0,0,0,3773875,3773875,1,5,0,0,0,0
T3_CG35.filtered.gatk.gd,T3_CG35,5,4,1,0,0,0,0,0,0,0,3773875,3773875,0,3,1,0,0,0
T3_CG36.filtered.gatk.gd,T3_CG36,3,2,1,0,0,0,0,0,0,0,3773875,3773875,1,1,0,0,0,0
T3_CG37.filtered.gatk.gd,T3_CG37,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_CG38.filtered.gatk.gd,T3_CG38,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,1
T3_CG39.filtered.gatk.gd,T3_CG39,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_CG40.filtered.gatk.gd,T3_CG40,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_CG41.filtered.gatk.gd,T3_CG41,4,1,3,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T3_CG42.filtered.gatk.gd,T3_CG42,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_CG43.filtered.gatk.gd,T3_CG43,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_CG44.filtered.gatk.gd,T3_CG44,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_CG45.filtered.gatk.gd,T3_CG45,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_CG46.filtered.gatk.gd,T3_CG46,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_CG47.filtered.gatk.gd,T3_CG47,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T3_CG48.filtered.gatk.gd,T3_CG48,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_WG03.filtered.gatk.gd,T3_WG03,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,1
T3_WG04.filtered.gatk.gd,T3_WG04,3,0,3,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_WG05.filtered.gatk.gd,T3_WG05,5,2,3,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T3_WG06.filtered.gatk.gd,T3_WG06,3,0,3,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_WG07.filtered.gatk.gd,T3_WG07,7,4,3,0,0,0,0,0,0,0,3773875,3773875,0,3,0,0,0,1
T3_WG09.filtered.gatk.gd,T3_WG09,7,4,3,0,0,0,0,0,0,0,3773875,3773875,0,3,0,0,0,1
T3_WG10.filtered.gatk.gd,T3_WG10,1,1,0,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T3_WG11.filtered.gatk.gd,T3_WG11,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_WG12.filtered.gatk.gd,T3_WG12,3,2,1,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T3_WG13.filtered.gatk.gd,T3_WG13,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T3_WG14.filtered.gatk.gd,T3_WG14,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T3_WG15.filtered.gatk.gd,T3_WG15,3,2,1,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T3_WG16.filtered.gatk.gd,T3_WG16,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T3_WG19.filtered.gatk.gd,T3_WG19,5,2,3,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T3_WG20.filtered.gatk.gd,T3_WG20,4,1,3,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T3_WG22.filtered.gatk.gd,T3_WG22,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_WG24.filtered.gatk.gd,T3_WG24,4,3,1,0,0,0,0,0,0,0,3773875,3773875,1,1,0,0,0,1
T3_WG25.filtered.gatk.gd,T3_WG25,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_WG27.filtered.gatk.gd,T3_WG27,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_WG29.filtered.gatk.gd,T3_WG29,3,2,1,0,0,0,0,0,0,0,3773875,3773875,1,1,0,0,0,0
T3_WG31.filtered.gatk.gd,T3_WG31,6,3,3,0,0,0,0,0,0,0,3773875,3773875,1,2,0,0,0,0
T3_WG33.filtered.gatk.gd,T3_WG33,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_WG34.filtered.gatk.gd,T3_WG34,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T3_WG36.filtered.gatk.gd,T3_WG36,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_WG37.filtered.gatk.gd,T3_WG37,3,3,0,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,1
T3_WG40.filtered.gatk.gd,T3_WG40,5,2,2,1,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,1
T3_WG41.filtered.gatk.gd,T3_WG41,11,6,5,0,0,0,0,0,0,0,3773875,3773875,1,4,0,0,0,1
T3_WG43.filtered.gatk.gd,T3_WG43,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_WG44.filtered.gatk.gd,T3_WG44,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T3_WG45.filtered.gatk.gd,T3_WG45,3,1,2,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T3_WG46.filtered.gatk.gd,T3_WG46,1,1,0,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T3_WG47.filtered.gatk.gd,T3_WG47,3,3,0,0,0,0,0,0,0,0,3773875,3773875,1,1,0,0,0,1
T3_WG48.filtered.gatk.gd,T3_WG48,5,2,3,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,1
